request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_107,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 04 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,1806.96,affordable_with_plan,installments,2026-07-21:3502.84|2026-08-21:3502.84|2026-09-21:3502.84|2026-10-21:3502.84|2026-11-21:3502.84|2026-12-21:3502.84|2027-01-21:3502.84|2027-02-21:3502.84|2027-03-21:3502.84|2027-04-21:3502.84|2027-05-21:3502.84|2027-06-21:3502.84|2027-07-21:3502.84|2027-08-21:3502.84|2027-09-21:3502.84|2027-10-21:3502.84|2027-11-21:3502.84|2027-12-21:3502.84,2026-08-15,none,"Use 18 installments of ZAR 3,502.84, starting 21 July 2026. This leaves at least ZAR 25,906.96 available."
request_109,527.51,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-18:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,929.03 available."
request_110,22352.0,affordable_now,full_payment,2025-08-06:22352,2025-08-06,none,"Pay ZAR 22,352 today. This leaves at least ZAR 37,680.42 available over the next 90 days."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 27,132,803.03 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 517.94 available over the next 90 days.
request_113,21846.78,affordable_with_plan,partial_payment,2026-09-04:21846.78|2026-09-15:14653.22,2026-09-15,none,"Pay INR 21,846.78 today and the remaining INR 14,653.22 on 15 September 2026. This completes the full request and keeps the INR 82,300 minimum protected."
request_114,59227.22,affordable_with_plan,installments,2026-01-11:11754|2026-02-11:11754|2026-03-11:11754|2026-04-11:11754|2026-05-11:11754|2026-06-11:11754,2026-01-15,none,"Use 6 installments of INR 11,754, starting 11 January 2026. This leaves at least INR 160,873.22 available."
request_115,14644.65,affordable_with_plan,installments,2024-09-13:4523.33|2024-10-13:4523.33|2024-11-13:4523.33|2024-12-13:4523.33|2025-01-13:4523.33|2025-02-13:4523.33|2025-03-13:4523.33|2025-04-13:4523.33|2025-05-13:4523.33|2025-06-13:4523.33|2025-07-13:4523.33|2025-08-13:4523.33|2025-09-13:4523.33|2025-10-13:4523.33|2025-11-13:4523.33|2025-12-13:4523.33|2026-01-13:4523.33|2026-02-13:4523.33|2026-03-13:4523.33|2026-04-13:4523.33|2026-05-13:4523.33,2024-11-15,none,"Use 21 installments of INR 4,523.33, starting 13 September 2024. This leaves at least INR 48,921.32 available."
request_116,8036.01,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,857.65,affordable_with_plan,full_payment,2026-07-05:880,2026-07-05,stop:event_10833|reduce_to:event_10878:20.50,"Stop the streaming and Reduce the dining to EUR 20.50, then pay EUR 880 today. This leaves at least EUR 1,019.25 available."
request_118,649.16,affordable_with_plan,installments,2024-12-10:41.47|2025-01-10:41.47|2025-02-10:41.47|2025-03-10:41.47|2025-04-10:41.47|2025-05-10:41.47|2025-06-10:41.47|2025-07-10:41.47|2025-08-10:41.47|2025-09-10:41.47|2025-10-10:41.47|2025-11-10:41.47|2025-12-10:41.47|2026-01-10:41.47|2026-02-10:41.47|2026-03-10:41.47|2026-04-10:41.47|2026-05-10:41.47|2026-06-10:41.47|2026-07-10:41.47|2026-08-10:41.47,2025-02-15,none,"Use 21 installments of EUR 41.47, starting 10 December 2024. This leaves at least EUR 1,200.08 available."
request_119,59490.35,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-18:70546.67|2025-07-18:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 210,690.35 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,825,453.43 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 852.76 available over the next 90 days.
request_122,20558000.0,affordable_now,full_payment,2025-08-05:20558000,2025-08-05,none,"Pay IDR 20,558,000 today. This leaves at least IDR 34,529,495.23 available over the next 90 days."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 54,842,497.08 available over the next 90 days."
request_124,1386.46,affordable_with_plan,installments,2024-06-18:174.43|2024-07-18:174.43|2024-08-18:174.43|2024-09-18:174.43|2024-10-18:174.43|2024-11-18:174.43|2024-12-18:174.43|2025-01-18:174.43|2025-02-18:174.43|2025-03-18:174.43|2025-04-18:174.43|2025-05-18:174.43|2025-06-18:174.43|2025-07-18:174.43|2025-08-18:174.43|2025-09-18:174.43|2025-10-18:174.43|2025-11-18:174.43|2025-12-18:174.43|2026-01-18:174.43|2026-02-18:174.43,2024-08-15,none,"Use 21 installments of EUR 174.43, starting 18 June 2024. This leaves at least EUR 2,986.46 available."
request_125,5806.56,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-06,stop:event_11519|reduce_to:event_11602:223.30,"Stop the cloud storage and Reduce the dining to ZAR 223.30, then pay ZAR 6,468 today. This leaves at least ZAR 11,301.47 available."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 191,914.70 available over the next 90 days."
request_127,7458.96,affordable_with_plan,partial_payment,2024-09-05:7458.96|2024-10-15:16521.04,2024-10-15,none,"Pay ZAR 7,458.96 today and the remaining ZAR 16,521.04 on 15 October 2024. This completes the full request and keeps the ZAR 41,000 minimum protected."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 43,868.13 available over the next 90 days."
request_129,112.95,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,365.57,affordable_with_plan,installments,2024-12-09:111.19|2025-01-09:111.19|2025-02-09:111.19|2025-03-09:111.19|2025-04-09:111.19|2025-05-09:111.19|2025-06-09:111.19|2025-07-09:111.19|2025-08-09:111.19|2025-09-09:111.19|2025-10-09:111.19|2025-11-09:111.19|2025-12-09:111.19|2026-01-09:111.19|2026-02-09:111.19|2026-03-09:111.19|2026-04-09:111.19|2026-05-09:111.19|2026-06-09:111.19|2026-07-09:111.19|2026-08-09:111.19,2025-02-15,none,"Use 21 installments of USD 111.19, starting 09 December 2024. This leaves at least USD 1,654.38 available."
request_131,1128.23,affordable_with_plan,installments,2025-05-10:136.05|2025-06-10:136.05|2025-07-10:136.05|2025-08-10:136.05|2025-09-10:136.05|2025-10-10:136.05|2025-11-10:136.05|2025-12-10:136.05|2026-01-10:136.05|2026-02-10:136.05|2026-03-10:136.05|2026-04-10:136.05|2026-05-10:136.05|2026-06-10:136.05|2026-07-10:136.05,2025-07-23,none,"Use 15 installments of USD 136.05, starting 10 May 2025. This leaves at least USD 2,092.18 available."
request_132,284.79,affordable_with_plan,partial_payment,2026-01-05:284.79|2026-01-15:95.07,2026-01-15,none,"Pay USD 284.79 today and the remaining USD 95.07 on 15 January 2026. This completes the full request and keeps the USD 1,100 minimum protected."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4421542.62,affordable_with_plan,installments,2025-08-07:1600940|2025-09-07:1600940|2025-10-07:1600940|2025-11-07:1600940|2025-12-07:1600940|2026-01-07:1600940|2026-02-07:1600940|2026-03-07:1600940|2026-04-07:1600940|2026-05-07:1600940|2026-06-07:1600940|2026-07-07:1600940|2026-08-07:1600940|2026-09-07:1600940|2026-10-07:1600940,2025-10-15,none,"Use 15 installments of IDR 1,600,940, starting 07 August 2025. This leaves at least IDR 18,723,102.62 available."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 516.03 available over the next 90 days.
request_136,536.46,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-03,reduce_to:event_12498:27.20,"Reduce the shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,119.30 available."
request_137,19243.95,affordable_with_plan,installments,2025-11-05:5874|2025-12-05:5874|2026-01-05:5874|2026-02-05:5874|2026-03-05:5874|2026-04-05:5874|2026-05-05:5874|2026-06-05:5874|2026-07-05:5874|2026-08-05:5874|2026-09-05:5874|2026-10-05:5874|2026-11-05:5874|2026-12-05:5874|2027-01-05:5874,2025-11-05,none,"Use 15 installments of INR 5,874, starting 05 November 2025. This leaves at least INR 73,421.95 available."
request_138,968.21,affordable_with_plan,partial_payment,2026-04-07:968.21|2026-04-15:288.73,2026-04-15,none,"Pay EUR 968.21 today and the remaining EUR 288.73 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1331.2,affordable_with_plan,installments,2024-09-11:130.14|2024-10-11:130.14|2024-11-11:130.14|2024-12-11:130.14|2025-01-11:130.14|2025-02-11:130.14|2025-03-11:130.14|2025-04-11:130.14|2025-05-11:130.14|2025-06-11:130.14|2025-07-11:130.14|2025-08-11:130.14|2025-09-11:130.14|2025-10-11:130.14|2025-11-11:130.14|2025-12-11:130.14|2026-01-11:130.14|2026-02-11:130.14|2026-03-11:130.14|2026-04-11:130.14|2026-05-11:130.14,2024-11-15,none,"Use 21 installments of USD 130.14, starting 11 September 2024. This leaves at least USD 2,701.06 available."
request_140,1421.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 04 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,20712.85,affordable_with_plan,installments,2026-01-03:10868|2026-02-03:10868|2026-03-03:10868|2026-04-03:10868|2026-05-03:10868|2026-06-03:10868|2026-07-03:10868|2026-08-03:10868|2026-09-03:10868|2026-10-03:10868|2026-11-03:10868|2026-12-03:10868|2027-01-03:10868|2027-02-03:10868|2027-03-03:10868|2027-04-03:10868|2027-05-03:10868|2027-06-03:10868,2026-01-03,none,"Use 18 installments of INR 10,868, starting 03 January 2026. This leaves at least INR 77,144.85 available."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 4,566.20 available over the next 90 days."
request_143,2545.46,affordable_with_plan,installments,2025-05-14:922.83|2025-06-14:922.83|2025-07-14:922.83|2025-08-14:922.83|2025-09-14:922.83|2025-10-14:922.83|2025-11-14:922.83|2025-12-14:922.83|2026-01-14:922.83|2026-02-14:922.83|2026-03-14:922.83|2026-04-14:922.83|2026-05-14:922.83|2026-06-14:922.83|2026-07-14:922.83,2025-07-15,none,"Use 15 installments of ZAR 922.83, starting 14 May 2025. This leaves at least ZAR 12,922.63 available."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 615.26 available over the next 90 days.
request_145,27963.52,affordable_with_plan,partial_payment,2024-03-06:27963.52|2024-05-15:189436.48,2024-05-15,none,"Pay INR 27,963.52 today and the remaining INR 189,436.48 on 15 May 2024. This completes the full request and keeps the INR 155,400 minimum protected."
request_146,15750.3,affordable_with_plan,installments,2025-08-17:22844.50|2025-09-17:22844.50|2025-10-17:22844.50|2025-11-17:22844.50|2025-12-17:22844.50|2026-01-17:22844.50|2026-02-17:22844.50|2026-03-17:22844.50|2026-04-17:22844.50|2026-05-17:22844.50|2026-06-17:22844.50|2026-07-17:22844.50|2026-08-17:22844.50|2026-09-17:22844.50|2026-10-17:22844.50|2026-11-17:22844.50|2026-12-17:22844.50|2027-01-17:22844.50|2027-02-17:22844.50|2027-03-17:22844.50|2027-04-17:22844.50|2027-05-17:22844.50|2027-06-17:22844.50|2027-07-17:22844.50,2025-08-03,none,"Use 24 installments of INR 22,844.50, starting 17 August 2025. This leaves at least INR 124,350.30 available."
request_147,470.95,affordable_with_plan,partial_payment,2026-04-05:470.95|2026-05-15:658.75,2026-05-15,none,Pay EUR 470.95 today and the remaining EUR 658.75 on 15 May 2026. This completes the full request and keeps the EUR 900 minimum protected.
request_148,7103.71,affordable_with_plan,partial_payment,2024-06-07:7103.71|2024-08-15:15138.29,2024-08-15,none,"Pay ZAR 7,103.71 today and the remaining ZAR 15,138.29 on 15 August 2024. This completes the full request and keeps the ZAR 20,000 minimum protected."
request_149,24839.7,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-18:12706.03|2026-01-18:12706.03,2026-01-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 49,205.01 available."
request_150,275.1,affordable_with_plan,installments,2026-01-06:171.98|2026-02-06:171.98|2026-03-06:171.98,2026-02-15,none,"Use 3 installments of EUR 171.98, starting 06 January 2026. This leaves at least EUR 731.17 available."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 32,276,333.23 available over the next 90 days."
request_152,11112.27,affordable_with_plan,installments,2025-02-19:1018.01|2025-03-19:1018.01|2025-04-19:1018.01|2025-05-19:1018.01|2025-06-19:1018.01|2025-07-19:1018.01|2025-08-19:1018.01|2025-09-19:1018.01|2025-10-19:1018.01|2025-11-19:1018.01|2025-12-19:1018.01|2026-01-19:1018.01|2026-02-19:1018.01|2026-03-19:1018.01|2026-04-19:1018.01,2025-04-15,none,"Use 15 installments of ZAR 1,018.01, starting 19 February 2025. This leaves at least ZAR 22,849.62 available."
request_153,11.95,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_now,full_payment,2024-12-04:1625.80,2024-12-04,none,"Pay EUR 1,625.80 today. This leaves at least EUR 2,416.14 available over the next 90 days."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 80,188.90 available over the next 90 days."
request_156,8483.69,affordable_with_plan,installments,2026-04-17:2728.15|2026-05-17:2728.15|2026-06-17:2728.15|2026-07-17:2728.15|2026-08-17:2728.15|2026-09-17:2728.15|2026-10-17:2728.15|2026-11-17:2728.15|2026-12-17:2728.15|2027-01-17:2728.15|2027-02-17:2728.15|2027-03-17:2728.15|2027-04-17:2728.15|2027-05-17:2728.15|2027-06-17:2728.15|2027-07-17:2728.15|2027-08-17:2728.15|2027-09-17:2728.15,2026-06-15,none,"Use 18 installments of ZAR 2,728.15, starting 17 April 2026. This leaves at least ZAR 35,383.69 available."
request_157,4756451.87,affordable_with_plan,partial_payment,2024-03-05:4756451.87|2024-05-15:18746548.13,2024-05-15,none,"Pay IDR 4,756,451.87 today and the remaining IDR 18,746,548.13 on 15 May 2024. This completes the full request and keeps the IDR 15,714,100 minimum protected."
request_158,242600.0,affordable_now,full_payment,2025-08-07:242600,2025-08-07,none,"Pay INR 242,600 today. This leaves at least INR 489,629.51 available over the next 90 days."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 17,822 available over the next 90 days."
request_160,573.88,affordable_with_plan,partial_payment,2024-06-06:573.88|2024-07-15:672.42,2024-07-15,none,"Pay EUR 573.88 today and the remaining EUR 672.42 on 15 July 2024. This completes the full request and keeps the EUR 1,200 minimum protected."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1354293.9,affordable_with_plan,installments,2026-07-19:4266085.83|2026-08-19:4266085.83|2026-09-19:4266085.83|2026-10-19:4266085.83|2026-11-19:4266085.83|2026-12-19:4266085.83|2027-01-19:4266085.83|2027-02-19:4266085.83|2027-03-19:4266085.83|2027-04-19:4266085.83|2027-05-19:4266085.83|2027-06-19:4266085.83|2027-07-19:4266085.83|2027-08-19:4266085.83|2027-09-19:4266085.83|2027-10-19:4266085.83|2027-11-19:4266085.83|2027-12-19:4266085.83|2028-01-19:4266085.83|2028-02-19:4266085.83|2028-03-19:4266085.83|2028-04-19:4266085.83|2028-05-19:4266085.83|2028-06-19:4266085.83,2026-07-05,none,"Use 24 installments of IDR 4,266,085.83, starting 19 July 2026. This leaves at least IDR 25,515,393.90 available."
request_163,8748045.52,affordable_with_plan,installments,2024-09-14:1084700.95|2024-10-14:1084700.95|2024-11-14:1084700.95|2024-12-14:1084700.95|2025-01-14:1084700.95|2025-02-14:1084700.95|2025-03-14:1084700.95|2025-04-14:1084700.95|2025-05-14:1084700.95|2025-06-14:1084700.95|2025-07-14:1084700.95|2025-08-14:1084700.95|2025-09-14:1084700.95|2025-10-14:1084700.95|2025-11-14:1084700.95|2025-12-14:1084700.95|2026-01-14:1084700.95|2026-02-14:1084700.95|2026-03-14:1084700.95|2026-04-14:1084700.95|2026-05-14:1084700.95,2024-11-15,none,"Use 21 installments of IDR 1,084,700.95, starting 14 September 2024. This leaves at least IDR 34,392,044.57 available."
request_164,27018000.0,affordable_now,full_payment,2025-02-04:27018000,2025-02-04,none,"Pay IDR 27,018,000 today. This leaves at least IDR 32,287,043.48 available over the next 90 days."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,864.71 available over the next 90 days."
request_166,2907.6,affordable_now,full_payment,2024-12-03:2907.60,2024-12-03,none,"Pay USD 2,907.60 today. This leaves at least USD 5,411.47 available over the next 90 days."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 36,469.05 available over the next 90 days."
request_168,30579.55,affordable_with_plan,partial_payment,2026-01-07:30579.55|2026-01-15:18800.45,2026-01-15,none,"Pay INR 30,579.55 today and the remaining INR 18,800.45 on 15 January 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 24,338.84 available over the next 90 days."
request_170,30027648.74,affordable_with_plan,installments,2025-08-06:12804480|2025-09-06:12804480|2025-10-06:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 06 August 2025. This leaves at least IDR 26,188,159.86 available."
request_171,35.57,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,9121.0,affordable_with_plan,partial_payment,2024-06-05:9121|2024-06-15:1079,2024-06-15,none,"Pay ZAR 9,121 today and the remaining ZAR 1,079 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,54980.79,affordable_with_plan,partial_payment,2025-11-07:54980.79|2026-01-15:58019.21,2026-01-15,none,"Pay INR 54,980.79 today and the remaining INR 58,019.21 on 15 January 2026. This completes the full request and keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_now,full_payment,2026-04-04:1146.20,2026-04-04,none,"Pay EUR 1,146.20 today. This leaves at least EUR 719.66 available over the next 90 days."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,912.10 available over the next 90 days."
request_176,366.03,affordable_with_plan,installments,2025-02-17:90.91|2025-03-17:90.91|2025-04-17:90.91|2025-05-17:90.91|2025-06-17:90.91|2025-07-17:90.91|2025-08-17:90.91|2025-09-17:90.91|2025-10-17:90.91|2025-11-17:90.91|2025-12-17:90.91|2026-01-17:90.91|2026-02-17:90.91|2026-03-17:90.91|2026-04-17:90.91,2025-03-15,none,"Use 15 installments of EUR 90.91, starting 17 February 2025. This leaves at least EUR 966.03 available."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,426.35 available over the next 90 days."
request_178,2938.1,affordable_now,full_payment,2024-12-07:2938.10,2024-12-07,none,"Pay EUR 2,938.10 today. This leaves at least EUR 4,882.67 available over the next 90 days."
request_179,6454732.94,affordable_with_plan,installments,2025-05-11:3054186.67|2025-06-11:3054186.67|2025-07-11:3054186.67|2025-08-11:3054186.67|2025-09-11:3054186.67|2025-10-11:3054186.67|2025-11-11:3054186.67|2025-12-11:3054186.67|2026-01-11:3054186.67|2026-02-11:3054186.67|2026-03-11:3054186.67|2026-04-11:3054186.67|2026-05-11:3054186.67|2026-06-11:3054186.67|2026-07-11:3054186.67,2025-07-15,none,"Use 15 installments of IDR 3,054,186.67, starting 11 May 2025. This leaves at least IDR 44,831,346.27 available."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 47,530.38 available over the next 90 days."
request_181,302.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 07 April 2024. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 42,629.96 available over the next 90 days."
request_183,24507388.01,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-10:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026. This leaves at least IDR 15,500,481.08 available."
request_184,10568.04,affordable_with_plan,installments,2024-06-18:14154.38|2024-07-18:14154.38|2024-08-18:14154.38|2024-09-18:14154.38|2024-10-18:14154.38|2024-11-18:14154.38|2024-12-18:14154.38|2025-01-18:14154.38|2025-02-18:14154.38|2025-03-18:14154.38|2025-04-18:14154.38|2025-05-18:14154.38|2025-06-18:14154.38|2025-07-18:14154.38|2025-08-18:14154.38|2025-09-18:14154.38|2025-10-18:14154.38|2025-11-18:14154.38|2025-12-18:14154.38|2026-01-18:14154.38|2026-02-18:14154.38,2024-06-04,none,"Use 21 installments of INR 14,154.38, starting 18 June 2024. This leaves at least INR 121,368.04 available."
request_185,322.71,affordable_with_plan,partial_payment,2025-11-06:322.71|2026-01-15:934.59,2026-01-15,none,"Pay EUR 322.71 today and the remaining EUR 934.59 on 15 January 2026. This completes the full request and keeps the EUR 1,300 minimum protected."
request_186,4910.86,affordable_with_plan,installments,2026-01-06:1681.75|2026-02-06:1681.75|2026-03-06:1681.75|2026-04-06:1681.75|2026-05-06:1681.75|2026-06-06:1681.75|2026-07-06:1681.75|2026-08-06:1681.75|2026-09-06:1681.75|2026-10-06:1681.75|2026-11-06:1681.75|2026-12-06:1681.75|2027-01-06:1681.75|2027-02-06:1681.75|2027-03-06:1681.75|2027-04-06:1681.75|2027-05-06:1681.75|2027-06-06:1681.75,2026-03-15,none,"Use 18 installments of ZAR 1,681.75, starting 06 January 2026. This leaves at least ZAR 25,229.11 available."
request_187,37759.83,affordable_with_plan,partial_payment,2024-09-05:37759.83|2024-11-15:149740.17,2024-11-15,none,"Pay INR 37,759.83 today and the remaining INR 149,740.17 on 15 November 2024. This completes the full request and keeps the INR 128,300 minimum protected."
request_188,103.87,not_affordable,not_recommended,none,,none,Do not make this payment by 04 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 476.35 available over the next 90 days.
request_190,453.05,affordable_with_plan,installments,2024-12-09:143.71|2025-01-09:143.71|2025-02-09:143.71|2025-03-09:143.71|2025-04-09:143.71|2025-05-09:143.71|2025-06-09:143.71|2025-07-09:143.71|2025-08-09:143.71|2025-09-09:143.71|2025-10-09:143.71|2025-11-09:143.71|2025-12-09:143.71|2026-01-09:143.71|2026-02-09:143.71|2026-03-09:143.71|2026-04-09:143.71|2026-05-09:143.71|2026-06-09:143.71|2026-07-09:143.71|2026-08-09:143.71,2024-12-06,none,"Use 21 installments of EUR 143.71, starting 09 December 2024. This leaves at least EUR 1,909.34 available."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 601.35 available over the next 90 days.
request_192,167.71,affordable_with_plan,installments,2026-04-19:129.58|2026-05-19:129.58|2026-06-19:129.58|2026-07-19:129.58|2026-08-19:129.58|2026-09-19:129.58|2026-10-19:129.58|2026-11-19:129.58|2026-12-19:129.58|2027-01-19:129.58|2027-02-19:129.58|2027-03-19:129.58|2027-04-19:129.58|2027-05-19:129.58|2027-06-19:129.58|2027-07-19:129.58|2027-08-19:129.58|2027-09-19:129.58,2026-04-05,none,"Use 18 installments of USD 129.58, starting 19 April 2026. This leaves at least USD 1,167.71 available."
request_193,29.47,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-21:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,029.47 available."
request_194,32702.52,affordable_with_plan,installments,2025-08-07:9738.67|2025-09-07:9738.67|2025-10-07:9738.67|2025-11-07:9738.67|2025-12-07:9738.67|2026-01-07:9738.67|2026-02-07:9738.67|2026-03-07:9738.67|2026-04-07:9738.67|2026-05-07:9738.67|2026-06-07:9738.67|2026-07-07:9738.67|2026-08-07:9738.67|2026-09-07:9738.67|2026-10-07:9738.67,2025-10-23,none,"Use 15 installments of INR 9,738.67, starting 07 August 2025. This leaves at least INR 136,563.85 available."
request_195,1043.99,affordable_with_plan,partial_payment,2026-01-06:1043.99|2026-01-15:126.41,2026-01-15,none,"Pay EUR 1,043.99 today and the remaining EUR 126.41 on 15 January 2026. This completes the full request and keeps the EUR 700 minimum protected."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 663.11 available over the next 90 days.
request_197,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 164,801.83 available over the next 90 days."
request_199,23674000.0,affordable_now,full_payment,2024-09-04:23674000,2024-09-04,none,"Pay IDR 23,674,000 today. This leaves at least IDR 92,529,763.86 available over the next 90 days."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 24,266,443.10 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 18,562,555.03 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 166,912.70 available over the next 90 days."
request_203,1442.1,affordable_now,full_payment,2025-05-07:1442.10,2025-05-07,none,"Pay EUR 1,442.10 today. This leaves at least EUR 6,413.12 available over the next 90 days."
request_204,579.68,affordable_with_plan,full_payment,2026-01-04:588.74,2026-01-04,stop:event_18761,"Stop the delivery membership, then pay EUR 588.74 today. This leaves at least EUR 1,315.94 available."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 15,523,235.75 available over the next 90 days."
request_206,1404.7,affordable_now,full_payment,2025-08-03:1404.70,2025-08-03,none,"Pay EUR 1,404.70 today. This leaves at least EUR 3,280.68 available over the next 90 days."
request_207,4565.49,affordable_with_plan,partial_payment,2026-07-05:4565.49|2026-07-15:7264.51,2026-07-15,none,"Pay ZAR 4,565.49 today and the remaining ZAR 7,264.51 on 15 July 2026. This completes the full request and keeps the ZAR 13,600 minimum protected."
